,Title,Platform,others,joy,sadness,anger,surprise,disgust,fear
29,Celeste,XboxOne,0.6595163336023688,0.2277321409783326,0.09165176910755687,0.0018891143554355375,0.008708874607691475,0.0079949442442739,0.0025067957321879874
30,Chrono Cross,PlayStation,0.48252181394619276,0.36498837492039815,0.00196671087210379,0.0030091950275863096,0.005269957243229448,0.1403170643805444,0.001926889527297355
31,Company of Heroes,PC,0.5015407203320428,0.3654073142820709,0.005749064873046853,0.025666422719739842,0.009886986360905401,0.08628904226234355,0.005460447813358882
32,Devil May Cry,PlayStation2,0.6055779984512887,0.3192881845476469,0.0016439591339094247,0.012266350008342048,0.012422762461937917,0.038534745995756355,0.010266018737407382
33,Diablo,PC,0.6059289916637628,0.22104661232956188,0.01436155658242671,0.016892351907239627,0.0036900467061272827,0.12220911585232787,0.01587132695678836
34,Divinity: Original Sin II,PC,0.5319893599265133,0.3719815513022932,0.0015362509903396287,0.014659979675501617,0.016258100130716692,0.06181109743243403,0.0017636593659002939
35,Divinity: Original Sin II - Definitive Edition,PlayStation4,0.3529408329299518,0.610533010014998,0.003674327296071779,0.0021922617119603358,0.00334380103075605,0.02541030821989152,0.0019054654653050571
36,Eternal Darkness: Sanity's Requiem,GameCube,0.5710326697340291,0.2052674282363046,0.010544963672743204,0.02961721543375565,0.020767984126430345,0.13008291479165368,0.03268681938669626
37,Fallout 3,PC,0.5764527728658372,0.22468712475636335,0.005538213897005482,0.02029422510879167,0.007931510450195672,0.15949426079809648,0.005601895900529781
38,Fallout 3,PlayStation3,0.6491403037870958,0.24581405138848597,0.0072963180168329955,0.002198784267592725,0.02179276479810875,0.07154159829700109,0.0022161769831703605
39,Fallout 3,Xbox360,0.5410825782166039,0.3327872214033394,0.0018176417805669293,0.013440787993100852,0.007796460205084922,0.10112646128982301,0.0019488456632274452
40,Final Fantasy IX,PC,0.6551094061384598,0.3308941627231736,0.0022393590705986114,0.0014979175628265888,0.0035265232436358335,0.0052578225731849,0.0014748147093793778
41,Final Fantasy IX,PlayStation,0.4894882989720556,0.40867520802060675,0.009171831856920111,0.002193654655228316,0.012310371937077683,0.07635622725608258,0.0018043996210002561
42,Final Fantasy IX,PlayStation4,0.5988622140139341,0.36424896617730457,0.0027680623655517503,0.0017764435615390001,0.0038224816477546667,0.026660241574669816,0.0018615601196263667
43,Final Fantasy XII,PlayStation2,0.566945086615704,0.19847612029615358,0.010898728964996413,0.008040325891823,0.014251303954226647,0.1992413649674552,0.002147067075231517
44,Flipnote Studio,DS,0.4661338413850619,0.426817272664406,0.0020408531821045845,0.0027521832917744692,0.014913074027460307,0.08558159256174869,0.0017611999154233614
45,Forza Motorsport,Xbox,0.5400095119962798,0.3652099988916341,0.005111895560506028,0.00293598850463128,0.006081360041656868,0.07863160146414024,0.0020196546594995284
46,Gears of War,PC,0.5740321160123592,0.11441880477179152,0.0023595940979183956,0.004061531264853,0.003500547278082125,0.29921516254347497,0.002412257999719507
47,Gears of War,Xbox360,0.5120434523259992,0.2822767796086606,0.003788203144786743,0.01782872035311387,0.01506583737920996,0.1668638914607885,0.0021331174359143267
